symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
ZS,2022-06-21 00:00:00+00:00,150.25,153.85,146.5,146.5,2091721,150.25,153.85,146.5,146.5,2091721,0.0,1.0
ZS,2022-06-22 00:00:00+00:00,149.11,155.0,147.1008,147.84,2192203,149.11,155.0,147.1008,147.84,2192203,0.0,1.0
ZS,2022-06-23 00:00:00+00:00,162.76,164.185,149.92,151.62,3006489,162.76,164.185,149.92,151.62,3006489,0.0,1.0
ZS,2022-06-24 00:00:00+00:00,170.82,171.96,163.49,165.9,3083043,170.82,171.96,163.49,165.9,3083043,0.0,1.0
ZS,2022-06-27 00:00:00+00:00,164.23,171.74,163.0,170.0,1896406,164.23,171.74,163.0,170.0,1896406,0.0,1.0
ZS,2022-06-28 00:00:00+00:00,154.92,166.5199,153.33,163.55,2141282,154.92,166.5199,153.33,163.55,2141282,0.0,1.0
ZS,2022-06-29 00:00:00+00:00,154.95,156.15,150.9,153.68,1796774,154.95,156.15,150.9,153.68,1796774,0.0,1.0
ZS,2022-06-30 00:00:00+00:00,149.51,154.385,145.8,154.36,2472385,149.51,154.385,145.8,154.36,2472385,0.0,1.0
ZS,2022-07-01 00:00:00+00:00,155.37,157.55,147.4,149.65,1838726,155.37,157.55,147.4,149.65,1838726,0.0,1.0
ZS,2022-07-05 00:00:00+00:00,166.31,167.02,151.61,154.69,2765127,166.31,167.02,151.61,154.69,2765127,0.0,1.0
ZS,2022-07-06 00:00:00+00:00,163.75,167.88,161.4456,165.86,1502783,163.75,167.88,161.4456,165.86,1502783,0.0,1.0
ZS,2022-07-07 00:00:00+00:00,167.43,168.74,162.91,163.03,1876419,167.43,168.74,162.91,163.03,1876419,0.0,1.0
ZS,2022-07-08 00:00:00+00:00,166.89,170.245,161.63,164.0,1474028,166.89,170.245,161.63,164.0,1474028,0.0,1.0
ZS,2022-07-11 00:00:00+00:00,162.42,165.49,157.51,165.15,1727079,162.42,165.49,157.51,165.15,1727079,0.0,1.0
ZS,2022-07-12 00:00:00+00:00,150.92,168.68,148.49,163.96,3581624,150.92,168.68,148.49,163.96,3581624,0.0,1.0
ZS,2022-07-13 00:00:00+00:00,148.95,153.7,144.07,146.652,1562194,148.95,153.7,144.07,146.652,1562194,0.0,1.0
ZS,2022-07-14 00:00:00+00:00,146.06,148.95,143.29,148.11,1701306,146.06,148.95,143.29,148.11,1701306,0.0,1.0
ZS,2022-07-15 00:00:00+00:00,149.32,149.9226,145.37,147.16,1600941,149.32,149.9226,145.37,147.16,1600941,0.0,1.0
ZS,2022-07-18 00:00:00+00:00,150.82,157.4,150.045,153.67,2301322,150.82,157.4,150.045,153.67,2301322,0.0,1.0
ZS,2022-07-19 00:00:00+00:00,155.84,156.06,148.89,153.48,1325601,155.84,156.06,148.89,153.48,1325601,0.0,1.0
ZS,2022-07-20 00:00:00+00:00,162.95,165.85,156.0,156.67,1990363,162.95,165.85,156.0,156.67,1990363,0.0,1.0
ZS,2022-07-21 00:00:00+00:00,164.64,166.39,159.07,163.01,1321325,164.64,166.39,159.07,163.01,1321325,0.0,1.0
ZS,2022-07-22 00:00:00+00:00,159.93,168.5,158.54,165.13,1057909,159.93,168.5,158.54,165.13,1057909,0.0,1.0
ZS,2022-07-25 00:00:00+00:00,156.09,158.89,154.11,157.99,1265773,156.09,158.89,154.11,157.99,1265773,0.0,1.0
ZS,2022-07-26 00:00:00+00:00,141.95,151.12,140.72,149.45,3747759,141.95,151.12,140.72,149.45,3747759,0.0,1.0
ZS,2022-07-27 00:00:00+00:00,148.71,150.89,141.98,144.49,2139888,148.71,150.89,141.98,144.49,2139888,0.0,1.0
ZS,2022-07-28 00:00:00+00:00,153.06,154.5999,144.33,149.05,2279110,153.06,154.5999,144.33,149.05,2279110,0.0,1.0
ZS,2022-07-29 00:00:00+00:00,155.06,155.36,150.49,154.14,1624143,155.06,155.36,150.49,154.14,1624143,0.0,1.0
ZS,2022-08-01 00:00:00+00:00,153.5,157.41,149.08,152.0,1722966,153.5,157.41,149.08,152.0,1722966,0.0,1.0
ZS,2022-08-02 00:00:00+00:00,157.78,160.43,150.3,150.45,1825689,157.78,160.43,150.3,150.45,1825689,0.0,1.0
ZS,2022-08-03 00:00:00+00:00,165.29,165.52,159.67,160.0,2057328,165.29,165.52,159.67,160.0,2057328,0.0,1.0
ZS,2022-08-04 00:00:00+00:00,161.99,164.24,156.75,162.13,2942440,161.99,164.24,156.75,162.13,2942440,0.0,1.0
ZS,2022-08-05 00:00:00+00:00,163.42,164.5,157.85,158.61,1632836,163.42,164.5,157.85,158.61,1632836,0.0,1.0
ZS,2022-08-08 00:00:00+00:00,168.15,176.22,163.42,164.78,2233983,168.15,176.22,163.42,164.78,2233983,0.0,1.0
ZS,2022-08-09 00:00:00+00:00,163.41,167.615,161.35,166.32,1072202,163.41,167.615,161.35,166.32,1072202,0.0,1.0
ZS,2022-08-10 00:00:00+00:00,180.41,181.99,171.3673,171.38,3303165,180.41,181.99,171.3673,171.38,3303165,0.0,1.0
ZS,2022-08-11 00:00:00+00:00,178.71,188.06,178.18,184.25,2574787,178.71,188.06,178.18,184.25,2574787,0.0,1.0
ZS,2022-08-12 00:00:00+00:00,182.64,184.28,179.335,182.18,1668045,182.64,184.28,179.335,182.18,1668045,0.0,1.0
ZS,2022-08-15 00:00:00+00:00,181.71,183.43,177.54,180.32,1131428,181.71,183.43,177.54,180.32,1131428,0.0,1.0
ZS,2022-08-16 00:00:00+00:00,178.6,181.36,173.9,179.12,1512679,178.6,181.36,173.9,179.12,1512679,0.0,1.0
ZS,2022-08-17 00:00:00+00:00,174.35,176.355,171.61,175.0,1583514,174.35,176.355,171.61,175.0,1583514,0.0,1.0
ZS,2022-08-18 00:00:00+00:00,175.31,176.72,172.86,175.01,1141053,175.31,176.72,172.86,175.01,1141053,0.0,1.0
ZS,2022-08-19 00:00:00+00:00,166.22,172.82,163.33,172.82,2554886,166.22,172.82,163.33,172.82,2554886,0.0,1.0
ZS,2022-08-22 00:00:00+00:00,163.0,165.71,159.705,162.41,1771822,163.0,165.71,159.705,162.41,1771822,0.0,1.0
ZS,2022-08-23 00:00:00+00:00,165.35,172.25,164.65,167.81,2384861,165.35,172.25,164.65,167.81,2384861,0.0,1.0
ZS,2022-08-24 00:00:00+00:00,165.65,167.08,163.907,165.61,1153219,165.65,167.08,163.907,165.61,1153219,0.0,1.0
ZS,2022-08-25 00:00:00+00:00,167.72,169.425,164.8001,169.38,1657765,167.72,169.425,164.8001,169.38,1657765,0.0,1.0
ZS,2022-08-26 00:00:00+00:00,161.19,168.355,160.46,167.52,1983747,161.19,168.355,160.46,167.52,1983747,0.0,1.0
ZS,2022-08-29 00:00:00+00:00,158.53,162.66,157.001,158.32,1215311,158.53,162.66,157.001,158.32,1215311,0.0,1.0
ZS,2022-08-30 00:00:00+00:00,160.88,162.75,156.18,160.25,1778116,160.88,162.75,156.18,160.25,1778116,0.0,1.0
ZS,2022-08-31 00:00:00+00:00,159.24,168.29,158.34,163.69,1792367,159.24,168.29,158.34,163.69,1792367,0.0,1.0
ZS,2022-09-01 00:00:00+00:00,145.57,156.13,142.66,156.13,2846908,145.57,156.13,142.66,156.13,2846908,0.0,1.0
ZS,2022-09-02 00:00:00+00:00,145.12,150.1593,143.75,148.23,1982474,145.12,150.1593,143.75,148.23,1982474,0.0,1.0
ZS,2022-09-06 00:00:00+00:00,145.03,146.0,142.11,144.72,1838696,145.03,146.0,142.11,144.72,1838696,0.0,1.0
ZS,2022-09-07 00:00:00+00:00,147.71,148.29,142.06,146.25,2254347,147.71,148.29,142.06,146.25,2254347,0.0,1.0
ZS,2022-09-08 00:00:00+00:00,154.25,154.55,145.5,145.53,4145069,154.25,154.55,145.5,145.53,4145069,0.0,1.0
ZS,2022-09-09 00:00:00+00:00,188.0,188.79,173.09,174.95,11412463,188.0,188.79,173.09,174.95,11412463,0.0,1.0
ZS,2022-09-12 00:00:00+00:00,193.6,194.21,185.71,188.51,5398502,193.6,194.21,185.71,188.51,5398502,0.0,1.0
ZS,2022-09-13 00:00:00+00:00,181.22,188.7,179.75,185.3,4251886,181.22,188.7,179.75,185.3,4251886,0.0,1.0
ZS,2022-09-14 00:00:00+00:00,182.98,183.78,177.61,182.15,2408877,182.98,183.78,177.61,182.15,2408877,0.0,1.0
ZS,2022-09-15 00:00:00+00:00,175.99,182.788,174.84,179.21,2584032,175.99,182.788,174.84,179.21,2584032,0.0,1.0
ZS,2022-09-16 00:00:00+00:00,169.49,172.74,165.11,171.65,6490225,169.49,172.74,165.11,171.65,6490225,0.0,1.0
ZS,2022-09-19 00:00:00+00:00,174.57,175.37,166.51,167.0,2591682,174.57,175.37,166.51,167.0,2591682,0.0,1.0
ZS,2022-09-20 00:00:00+00:00,172.68,177.76,171.7,173.53,2170487,172.68,177.76,171.7,173.53,2170487,0.0,1.0
ZS,2022-09-21 00:00:00+00:00,171.88,179.89,171.74,173.02,1901783,171.88,179.89,171.74,173.02,1901783,0.0,1.0
ZS,2022-09-22 00:00:00+00:00,162.56,173.66,162.5,171.15,2059548,162.56,173.66,162.5,171.15,2059548,0.0,1.0
ZS,2022-09-23 00:00:00+00:00,158.69,162.56,156.06,160.26,1988025,158.69,162.56,156.06,160.26,1988025,0.0,1.0
ZS,2022-09-26 00:00:00+00:00,159.76,164.38,158.78,158.78,1628658,159.76,164.38,158.78,158.78,1628658,0.0,1.0
ZS,2022-09-27 00:00:00+00:00,163.21,166.4,159.99,163.91,1718257,163.21,166.4,159.99,163.91,1718257,0.0,1.0
ZS,2022-09-28 00:00:00+00:00,168.78,169.54,162.635,164.0,1723054,168.78,169.54,162.635,164.0,1723054,0.0,1.0
ZS,2022-09-29 00:00:00+00:00,165.89,167.78,162.7,164.68,1423143,165.89,167.78,162.7,164.68,1423143,0.0,1.0
ZS,2022-09-30 00:00:00+00:00,164.37,171.53,164.13,166.56,1339162,164.37,171.53,164.13,166.56,1339162,0.0,1.0
ZS,2022-10-03 00:00:00+00:00,170.51,171.91,163.21,165.055,2364287,170.51,171.91,163.21,165.055,2364287,0.0,1.0
ZS,2022-10-04 00:00:00+00:00,176.0,178.74,174.29,175.768,1683665,176.0,178.74,174.29,175.768,1683665,0.0,1.0
ZS,2022-10-05 00:00:00+00:00,180.15,181.94,171.61,171.99,1552526,180.15,181.94,171.61,171.99,1552526,0.0,1.0
ZS,2022-10-06 00:00:00+00:00,182.92,185.9899,180.7,181.18,2059861,182.92,185.9899,180.7,181.18,2059861,0.0,1.0
ZS,2022-10-07 00:00:00+00:00,170.09,179.745,169.83,178.0,2536070,170.09,179.745,169.83,178.0,2536070,0.0,1.0
ZS,2022-10-10 00:00:00+00:00,157.18,170.3259,154.1436,169.49,3376597,157.18,170.3259,154.1436,169.49,3376597,0.0,1.0
ZS,2022-10-11 00:00:00+00:00,148.73,153.91,145.23,151.49,4441339,148.73,153.91,145.23,151.49,4441339,0.0,1.0
